变量,类型,阳性组(n=101),阴性组(n=123),统计方法,P值
性别_男,分类,54/101 (53.5%),62/123 (50.4%),卡方检验,0.7478182122543451
性别_女,分类,47/101 (46.5%),61/123 (49.6%),卡方检验,0.7478182122543451
RBC平均血红蛋白浓度(MCHC),连续,331.00[323.00-337.00],330.00[322.50-338.00],Mann-Whitney U,0.7574181744751409
住院天数,连续,15.00[8.00-25.00],14.00[8.00-21.00],Mann-Whitney U,0.7605301632092419
是否步速缓慢,分类,39/101 (38.6%),51/123 (41.5%),卡方检验,0.7673025414676343
首次VTE中高风险评分日期与药物预防日期差值,连续,0.00[0.00-1.00],0.00[0.00-1.00],Mann-Whitney U,0.7821759366424059
RBC平均血红蛋白量(MCH),连续,30.00[28.10-31.40],29.80[28.10-31.15],Mann-Whitney U,0.802802412734549
身高,连续,1.62[1.56-1.67],1.62[1.58-1.65],Mann-Whitney U,0.9172026868886463
血红蛋白浓度HGB【确诊前最近一次】(g/L),连续,111.49±26.08,111.38±22.78,t检验,0.9735873479735169
首次DD与入院日期差值,分类,49/101 (48.5%),61/123 (49.6%),卡方检验,0.9789537672270605
主要疾病诊断_食管恶性肿瘤,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_风湿性心脏病,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_颞叶出血(左侧）,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_颈部脊髓损伤,分类,1/101 (1.0%),2/123 (1.6%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.45,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.3,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.22,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.01,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.82,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.77,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.67,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.61,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.56,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.4,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.38,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.27,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.2,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.16,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.04,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.88,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.82,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.81,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.8,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.78,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.47,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.12,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.97,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.746,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.58,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.21,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.8,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.4,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.85,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.79,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.52,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.18,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.71,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.66,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.65,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.61,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.57,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.54,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_16.9,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_16.488,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_15.63,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.44,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.19,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_13.67,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_11.18,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.68,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.99,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_.双侧亚急性硬膜下血肿,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_63.67,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_50.54,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_45.99,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_29.74,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_26.67,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_25.39,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_23.42,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.16,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.04,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.0,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.97,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.74,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.65,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.59,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.55,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_低钾血症,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_乙状结肠肿瘤,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_丙型肝炎后肝硬化失代偿期,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_丘脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_不稳定型心绞痛,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_下肢静脉闭塞(右髂静脉),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_下肢静脉血栓,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_下肢静脉曲张伴静脉炎( 左),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_下肢静脉曲张,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_2型糖尿病足,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_2型糖尿病性下肢感染,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.52,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.49,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.48,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.47,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.4,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.38,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.37,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.28,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.24,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.13,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_双肺肺炎,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_双侧膝关节骨性关节病,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_动静脉内瘘狭窄(左上肢) 慢性肾脏病V期 慢性肾脏病贫血 慢性心力衰竭 肾性高血压 继发性甲状旁腺功能亢进 高磷血症 低钙血症,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_前列腺恶性肿瘤并多发骨转移,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_冠状动脉粥样硬化性心脏病,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_便血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.12,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.1,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.06,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.0,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.85,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.83,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.8,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.79,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_右肺上叶腺癌术后,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右侧髌骨骨折,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_右侧颞叶出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右侧股骨头缺血性坏死,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右侧基底节区脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右侧丘脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右乳导管乳头状原位癌（pTisN0M0 0期）,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_发热、呕吐,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_发热(社区获得性肺炎？) ,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_多处受压区压疮 IV期,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_多发颅内动脉瘤破裂伴蛛网膜下腔出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_基底节出血(左侧) ,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_基底节出血(左侧),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_基底节出血(右侧基底节、丘脑、侧脑室旁白质) ,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_基底节出血(右侧),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_咯血,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_呼吸心跳骤停,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_呼吸困难,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_吞咽困难,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_右膝半月板损伤,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左侧股骨颈骨折,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_左侧椎动脉V4段夹层动脉瘤,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左侧基底节脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左侧基底节区脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_尿毒症性脑病,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_尿毒症,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_大面积脑梗死,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_大脑中动脉瘤破裂伴蛛网膜下隙出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.6,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.5,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.42,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性冠脉综合征,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_心力衰竭,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左额叶、胼胝体膝部脑出血,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左腕关节腱鞘囊肿,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_左肺腺癌Ⅲ期,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左股骨颈骨折,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左侧附件区转移性鳞癌,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_左侧胫骨平台骨折,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性非ST段抬高型心肌梗死,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性阑尾炎，急性胃肠炎,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性脑血管病,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性脑梗死？,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性脑梗死（左侧大脑半球）,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性脑梗死(左侧额顶枕叶、左侧侧脑室旁、右侧额叶 心源性栓塞型可能性大),分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性脑梗死 ,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性脑梗死,分类,3/101 (3.0%),3/123 (2.4%),Fisher精确,1.0
主要疾病诊断_急性胆囊炎,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性肺栓塞,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性疼痛,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_急性消化道穿孔,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性消化道出血：消化性溃疡并出血？,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_急性暴发性心肌炎,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.36,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.29,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.13,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.1,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.09,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_成人Ph-急性淋巴细胞白血病,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_慢性肾脏病V期 慢性心力衰竭 肾性贫血 低钙血症 高磷血症,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_慢性肾脏病IV期 肾性贫血 高磷血症 继发性甲状旁腺功能亢进 代谢性酸中毒 血液透析 血管透析导管的机械性并发症,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_慢性肺源性心脏病失代偿期,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_慢性心力衰竭急性发作,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_感染性休克,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
主要疾病诊断_意识障碍(查因),分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
主要疾病诊断_恶性肿瘤术后靶向治疗,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.05,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,分类,1/101 (1.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.02,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.99,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.98,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.96,分类,0/101 (0.0%),1/123 (0.8%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.91,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.9,分类,0/101 (0.0%),0/123 (0.0%),Fisher精确,1.0
