变量,类型,阴性组(n=122),阳性组(n=102),P值
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
入院科室_创伤中心,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与药物预防日期差值_-5,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.13,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.09,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.05,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.99,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.96,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.88,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.66,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_非创伤性脑内血肿,分类,1/122 (0.8%),0/102 (0.0%),1.0
入院科室_消化内科,分类,2/122 (1.6%),2/102 (2.0%),1.0
入院科室_急诊科,分类,1/122 (0.8%),0/102 (0.0%),1.0
入院科室_心血管内科,分类,7/122 (5.7%),5/102 (4.9%),1.0
入院科室_妇科,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_8,分类,2/122 (1.6%),2/102 (2.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_5,分类,2/122 (1.6%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_0,分类,31/122 (25.4%),26/102 (25.5%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.44,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.19,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_13.67,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_11.18,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.68,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.99,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.21,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.8,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.4,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.67,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.52,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.18,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_丘脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.85,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.79,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_63.67,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_45.99,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_29.74,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_26.67,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_25.39,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_23.42,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_16.488,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_15.63,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_前列腺恶性肿瘤并多发骨转移,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_冠状动脉粥样硬化性心脏病,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_便血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_乙状结肠肿瘤,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_丙型肝炎后肝硬化失代偿期,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.47,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.71,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.746,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.58,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.3,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.22,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.01,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.82,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_下肢静脉曲张,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右肺上叶腺癌术后,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右侧颞叶出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右侧股骨头缺血性坏死,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右侧基底节区脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右侧丘脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_发热、呕吐,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_双肺肺炎,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.0,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.61,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.56,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.4,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.38,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.27,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.2,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.16,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.82,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.81,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_尿毒症,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_大脑中动脉瘤破裂伴蛛网膜下隙出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_多处受压区压疮 IV期,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_多发颅内动脉瘤破裂伴蛛网膜下腔出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_呼吸心跳骤停,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_呼吸困难,分类,1/122 (0.8%),1/102 (1.0%),1.0
主要疾病诊断_吞咽困难,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_右膝半月板损伤,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.8,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.78,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.24,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.66,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.65,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.57,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_心力衰竭,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左肺腺癌Ⅲ期,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左股骨颈骨折,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左侧附件区转移性鳞癌,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左侧胫骨平台骨折,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左侧椎动脉V4段夹层动脉瘤,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左侧基底节脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左侧基底节区脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.16,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_32,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_12,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_10,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_8,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_5,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_2,分类,3/122 (2.5%),2/102 (2.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.65,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.59,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.52,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.49,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.47,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性脑血管病,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_大面积脑梗死,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性脑梗死(左侧额顶枕叶、左侧侧脑室旁、右侧额叶 心源性栓塞型可能性大),分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性脑梗死 ,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性脑梗死,分类,3/122 (2.5%),3/102 (2.9%),1.0
主要疾病诊断_急性胆囊炎,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性肺栓塞,分类,1/122 (0.8%),1/102 (1.0%),1.0
主要疾病诊断_急性疼痛,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性冠脉综合征,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_胸腔积液,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_左额叶、胼胝体膝部脑出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_易栓症,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_支气管哮喘,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_抗合成酶综合征,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_慢性肺源性心脏病失代偿期,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_感染性休克,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_恶性肿瘤术后靶向治疗,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_急性非ST段抬高型心肌梗死,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.4,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.37,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.1,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.0,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.85,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.83,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.8,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_腰椎骨折,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_腰椎间盘突出伴神经根病,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_股骨转子间骨折,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_肌筋膜炎,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_神经痛,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_社区获得性肺炎，非重症,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_社区获得性肺炎 ,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_症状性癫痫,分类,1/122 (0.8%),0/102 (0.0%),1.0
"主要疾病诊断_横结肠低分化腺癌TxNxM1,Ⅳ期",分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_脊髓血管病,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.6,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.42,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-8,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-14,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_胸椎骨折,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_胸椎脱位t11/t12,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_胆总管结石伴急性化脓性梗阻性胆管炎,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_肿瘤免疫治疗,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_肺部感染,分类,4/122 (3.3%),3/102 (2.9%),1.0
主要疾病诊断_肺继发性恶性肿瘤,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_肺炎,分类,2/122 (1.6%),1/102 (1.0%),1.0
主要疾病诊断_肺栓塞？,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_腹胀,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_风湿性心脏病,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_颈部脊髓损伤,分类,2/122 (1.6%),1/102 (1.0%),1.0
主要疾病诊断_腰椎间盘突出伴椎管狭窄,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_腰椎椎管狭窄,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_腰椎压缩性骨折,分类,1/122 (0.8%),1/102 (1.0%),1.0
主要疾病诊断_脑血管意外,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_脑梗死,分类,3/122 (2.5%),3/102 (2.9%),1.0
主要疾病诊断_脑干出血,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-2,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-4,分类,2/122 (1.6%),1/102 (1.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-7,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与机械预防日期差值_-33,分类,1/122 (0.8%),0/102 (0.0%),1.0
入院科室_风湿免疫科,分类,1/122 (0.8%),1/102 (1.0%),1.0
入院科室_重症医学科,分类,3/122 (2.5%),2/102 (2.0%),1.0
入院科室_血液科,分类,3/122 (2.5%),3/102 (2.9%),1.0
入院科室_肾内科,分类,4/122 (3.3%),3/102 (2.9%),1.0
VTE首次中高危评分日期与药物预防日期差值_-6,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-8,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-11,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-14,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-27,分类,1/122 (0.8%),0/102 (0.0%),1.0
主要疾病诊断_食管恶性肿瘤,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.29,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-3,分类,2/122 (1.6%),2/102 (2.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_19,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_17,分类,1/122 (0.8%),0/102 (0.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_16,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_15,分类,1/122 (0.8%),1/102 (1.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.79,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.77,分类,1/122 (0.8%),0/102 (0.0%),1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.71,分类,1/122 (0.8%),1/102 (1.0%),1.0
入院科室_全科医学科,分类,1/122 (0.8%),0/102 (0.0%),1.0
入院科室_介入科,分类,1/122 (0.8%),1/102 (1.0%),1.0
VTE首次中高危评分日期与药物预防日期差值_-1,分类,4/122 (3.3%),4/102 (3.9%),1.0
VTE首次中高危评分日期与药物预防日期差值_-2,分类,2/122 (1.6%),2/102 (2.0%),1.0
