变量,β系数,OR,95%CI下限,95%CI上限,P值
主要疾病诊断_下肢静脉曲张,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_下肢肌肉损伤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_右肺上叶腺癌术后,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右侧颞叶出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右侧胫骨髁间棘骨折,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_右侧股骨头缺血性坏死,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右侧基底节区脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右侧丘脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_取除下腔静脉滤器,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_发热查因：重症肺炎？其他？,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_发热、呕吐,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_双肾多发错构瘤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_双肺肺炎,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_双侧腹股沟复发性直疝,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_十二指肠腺癌并出血,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_化疗后骨髓抑制,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_大面积肺栓塞（高危组 ）,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_大脑中动脉瘤破裂伴蛛网膜下隙出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_大脑中动脉狭窄,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_大气道狭窄,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_多处受压区压疮 IV期,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_多发颅内动脉瘤破裂伴蛛网膜下腔出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_呼吸心跳骤停,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_吞咽困难,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右髂骨粉碎性骨折,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_右膝半月板损伤,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_右胫骨骨折 ,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_右肺肺炎,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_右肺嗜肺军团菌肺炎,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_左腋神经损伤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_左胫骨平台骨折,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_左肺腺癌Ⅲ期,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左股骨颈骨折,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左股骨粗隆下骨折术后,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_左侧附件区转移性鳞癌,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左侧胫骨平台骨折,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左侧椎动脉V4段夹层动脉瘤,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左侧大隐静脉曲张,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_左侧基底节脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左侧基底节区脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左侧基底节区出血,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_尿毒症,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_头晕查因：后循环缺血？,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_大面积脑梗死,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.13,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.09,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.05,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.99,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.96,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.88,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_急性脑梗死(左侧额顶枕叶、左侧侧脑室旁、右侧额叶 心源性栓塞型可能性大),-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性脑梗死 ,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性胆囊炎,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性肺动脉栓塞,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_急性疼痛,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性心力衰竭,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_急性广泛前壁心肌梗死,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_急性大面积脑梗死,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_急性多发脑梗死,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_急性冠脉综合征,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_心源性脑栓塞,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_心力衰竭,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_左额叶、胼胝体膝部脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_易栓症,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_支气管或肺恶性肿瘤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_支气管哮喘,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_抗合成酶综合征,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_手术后恶性肿瘤化学治疗,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_慢性阻塞性肺病伴有急性加重,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_慢性肺源性心脏病失代偿期,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_感染性休克,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_恶性肿瘤靶向治疗,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_恶性肿瘤维持性化学治疗,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_恶性肿瘤术后靶向治疗,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性非ST段抬高型心肌梗死,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_急性脑血管病,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_肺挫伤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_股骨转子间骨折,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_肝脏转移瘤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_肌筋膜炎,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_细菌性肺炎,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_类风湿性关节炎,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_神经痛,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_社区获得性肺炎，非重症,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_社区获得性肺炎，重症,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_社区获得性肺炎 ,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_症状性癫痫,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_特鲁索综合征,26.2511,251590469253.0981,0.0,inf,1.0
"主要疾病诊断_横结肠低分化腺癌TxNxM1,Ⅳ期",-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_梗阻性黄疸,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_脊髓血管病,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_胸腔积液,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_胸痛,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_胸椎骨折,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_胸椎脱位t11/t12,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_胆总管结石伴急性化脓性梗阻性胆管炎,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_胆总管结石,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_胆囊结石伴急性胆囊炎,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_胃多发溃疡并出血,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_肿瘤免疫治疗,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_肺继发性恶性肿瘤,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_肺栓塞？,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_败血症,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_腹胀,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_腰椎骨折,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_腰椎间盘突出伴神经根病,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_腰椎间盘突出伴椎管狭窄,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_腰椎间盘突出,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_腰椎椎管狭窄,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_脓毒血症,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_脑转移瘤术后恢复期,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_脑血管狭窄,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_脑血管意外,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_脑干出血,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.79,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.77,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.66,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,26.2511,251590469253.0981,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-8,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-9,26.2511,251590469253.0981,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-11,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-27,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-29,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_食管恶性肿瘤,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_风湿性心脏病,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_颅占位性病变,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,-57.7816,0.0,0.0,inf,1.0
主要疾病诊断_非创伤性脑内血肿,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_重型原发性免疫性血小板减少症,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,26.2511,251590469253.0981,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_37,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_12,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_10,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_8,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_5,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-5,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-7,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-8,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-14,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-29,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-33,-25.8904,0.0,0.0,inf,1.0
入院科室_甲乳外科,26.2511,251590469253.099,0.0,inf,1.0
入院科室_泌尿外科,26.2511,251590469253.099,0.0,inf,1.0
入院科室_急诊科,-25.8904,0.0,0.0,inf,1.0
入院科室_心胸外科,26.2511,251590469253.099,0.0,inf,1.0
入院科室_创伤中心,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-5,-25.8904,0.0,0.0,inf,1.0
入院科室_内分泌科,26.2511,251590469253.0981,0.0,inf,1.0
入院科室_全科医学科,-25.8904,0.0,0.0,inf,1.0
