变量,β系数,OR,95%CI下限,95%CI上限,P值
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_社区获得性肺炎，重症,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_抗合成酶综合征,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_社区获得性肺炎,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_特鲁索综合征,-16.9831,0.0,0.0,inf,0.9982
"主要疾病诊断_横结肠低分化腺癌TxNxM1,Ⅳ期",-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_手术后恶性肿瘤化学治疗,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_支气管或肺恶性肿瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_慢性肺源性心脏病失代偿期,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_慢性阻塞性肺病伴有急性加重,-16.9831,0.0,0.0,inf,0.9982
入院科室_全科医学科,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与机械预防日期差值_-29,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_恶性肿瘤维持性化学治疗,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_胸痛,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_胆总管结石,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_胆囊结石伴急性胆囊炎,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_胃多发溃疡并出血,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_肺挫伤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_肝脏转移瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_类风湿性关节炎,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.79,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_重型原发性免疫性血小板减少症,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.71,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_腰椎间盘突出伴神经根病,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_颅占位性病变,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_非创伤性脑内血肿,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_腰椎压缩性骨折,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_败血症,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_脑转移瘤术后恢复期,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_脓毒血症,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_-4,-16.9831,0.0,0.0,inf,0.9982
入院科室_泌尿外科,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_脑血管狭窄,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_脑血管意外,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与机械预防日期差值_37,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与机械预防日期差值_8,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与机械预防日期差值_-5,-16.9831,0.0,0.0,inf,0.9982
入院科室_创伤中心,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_-9,-16.9831,0.0,0.0,inf,0.9982
入院科室_甲乳外科,-16.9831,0.0,0.0,inf,0.9982
入院科室_介入科,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_-29,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与机械预防日期差值_2,-19.4147,0.0,0.0,inf,0.9986
入院科室_甲乳血管外科,-19.4147,0.0,0.0,inf,0.9986
主要疾病诊断_急性脑梗死,-21.8361,0.0,0.0,inf,0.9996
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,-21.8361,0.0,0.0,inf,0.9996
主要疾病诊断_慢性肾脏病5期,-21.8361,0.0,0.0,inf,0.9996
主要疾病诊断_颈部脊髓损伤,23.5643,17133557562.7506,0.0,inf,0.9996
VTE首次中高危评分日期与机械预防日期差值_-1,23.5643,17133557562.7504,0.0,inf,0.9996
入院科室_感染科,-21.8361,0.0,0.0,inf,0.9996
入院科室_血液科,-21.8361,0.0,0.0,inf,0.9996
出血风险评估（1/0）,29.5176,6596846140722.284,0.0,inf,0.9999
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,-29.0155,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_2,-98.5504,0.0,0.0,inf,1.0
